ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2025-07-03,86.38,86.73,85.78,86.24,86.1,0.14,0.1626,146150.27,1260331.049,,,,,,False,False
688981.SH,2025-07-04,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,,,,,,False,False
688981.SH,2025-07-07,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,,,,,,False,False
688981.SH,2025-07-08,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,1876172.23,,,,,,False,False
688981.SH,2025-07-09,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,1578143.686,,,,,,False,False
688981.SH,2025-07-10,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,1506706.468,,,,,,False,False
688981.SH,2025-07-11,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,4128335.55,,,,,,False,False
688981.SH,2025-07-14,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,1667925.619,,,,,,False,False
688981.SH,2025-07-15,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,1800356.659,,,,,,False,False
688981.SH,2025-07-16,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,1720548.788,,,,,,False,False
688981.SH,2025-07-17,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,2535637.954,,,,,,False,False
688981.SH,2025-07-18,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,1948101.635,,,,,,False,False
688981.SH,2025-07-21,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,1983498.56,,,,,,False,False
688981.SH,2025-07-22,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,2662984.479,,,,,,False,False
688981.SH,2025-07-23,88.9,90.19,88.3,89.39,89.08,0.31,0.348,316549.41,2831683.379,,,,,,False,False
688981.SH,2025-07-24,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,522324.53,4779308.503,,,,,,False,False
688981.SH,2025-07-25,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,442124.79,4076414.682,,,,,,False,False
688981.SH,2025-07-28,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,342640.05,3167887.757,,,,,,False,False
688981.SH,2025-07-29,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,294142.08,2699803.673,,,,,,False,False
688981.SH,2025-07-30,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,310018.59,2815721.986,93.69,84.86,89.275,8.829999999999998,9.890786894427329,False,False
688981.SH,2025-07-31,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,461988.52,4187082.774,93.69,84.86,89.275,8.829999999999998,9.890786894427329,False,False
688981.SH,2025-08-01,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,274140.33,2439842.712,93.69,85.18,89.435,8.509999999999991,9.515290434393684,False,False
688981.SH,2025-08-04,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,286057.6,2568808.038,93.69,85.18,89.435,8.509999999999991,9.515290434393684,False,False
688981.SH,2025-08-05,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,195679.4,1761818.589,93.69,85.4,89.545,8.289999999999992,9.257915014797021,False,False
688981.SH,2025-08-06,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,267797.87,2418543.09,93.69,85.4,89.545,8.289999999999992,9.257915014797021,False,False
688981.SH,2025-08-07,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,315259.94,2859638.85,93.69,85.4,89.545,8.289999999999992,9.257915014797021,False,False
688981.SH,2025-08-08,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,584730.5,5098977.106,93.69,86.32,90.005,7.3700000000000045,8.188433975890234,False,False
688981.SH,2025-08-11,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,279193.14,2423559.078,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-12,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,551552.4,4870773.398,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-13,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,384304.42,3405728.487,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-14,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,6741604.128,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-15,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-18,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-19,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-20,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,7756060.795,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-21,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,5593619.618,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-22,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,20322967.7,105.0,86.22,95.61,18.78,19.642296830875434,False,False
688981.SH,2025-08-25,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1760636.98,18348502.386,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-26,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,8663988.281,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-27,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,14762335.293,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-28,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,27118768.322,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-08-29,114.0,116.0,112.26,114.76,119.22,-4.46,-3.741,1639670.37,18711478.532,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-09,102.0,108.65,101.2,102.99,114.76,-11.77,-10.2562,1574695.7,16482005.03,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-10,103.0,105.96,102.13,103.91,102.99,0.92,0.8933,1039925.7,10822524.036,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-11,102.62,112.8,99.98,110.28,103.91,6.37,6.1303,1467501.66,15776091.423,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-12,109.28,112.49,108.01,108.42,110.28,-1.86,-1.6866,1159022.04,12730296.246,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-15,110.55,112.55,107.5,108.66,108.42,0.24,0.2214,946836.18,10395575.384,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-16,109.0,111.86,108.09,109.78,108.66,1.12,1.0307,866259.24,9501062.259,119.22,86.42,102.82,32.8,31.900408480840305,False,False
688981.SH,2025-09-17,110.8,120.8,109.8,117.39,109.78,7.61,6.932,1528475.61,17861084.416,120.8,88.0,104.4,32.8,31.41762452107279,False,False
688981.SH,2025-09-18,119.98,127.49,116.35,122.15,117.39,4.76,4.0549,1931567.78,23495279.107,127.49,88.19,107.84,39.3,36.44287833827893,False,False
688981.SH,2025-09-19,123.0,127.4,120.11,121.34,122.15,-0.81,-0.6631,1449106.23,17943778.048,127.49,88.19,107.84,39.3,36.44287833827893,False,False
688981.SH,2025-09-22,120.54,129.83,119.05,128.92,121.34,7.58,6.2469,1588281.47,19858613.711,129.83,88.19,109.01,41.640000000000015,38.19833042840108,False,False
688981.SH,2025-09-23,127.64,129.33,122.63,128.51,128.92,-0.41,-0.318,1441273.53,18120121.818,129.83,88.19,109.01,41.640000000000015,38.19833042840108,False,False
688981.SH,2025-09-24,126.88,137.98,126.23,134.98,128.51,6.47,5.0346,1460947.53,19497523.266,137.98,88.19,113.085,49.78999999999999,44.02882787283901,False,False
688981.SH,2025-09-25,133.0,137.8,132.31,134.11,134.98,-0.87,-0.6445,1032583.21,13953307.668,137.98,90.8,114.38999999999999,47.17999999999999,41.244864061543836,False,False
688981.SH,2025-09-26,132.71,135.95,131.2,132.27,134.11,-1.84,-1.372,912445.19,12181639.386,137.98,92.42,115.19999999999999,45.55999999999999,39.54861111111111,False,False
688981.SH,2025-09-29,131.0,136.02,129.16,136.02,132.27,3.75,2.8351,1027207.23,13627566.349,137.98,99.98,118.97999999999999,37.999999999999986,31.93814086401075,False,False
688981.SH,2025-09-30,138.5,142.0,136.6,140.13,136.02,4.11,3.0216,986229.0,13794113.059,142.0,99.98,120.99000000000001,42.019999999999996,34.73014298702372,False,False
688981.SH,2025-10-09,144.0,153.0,137.0,138.91,140.13,-1.22,-0.8706,1662841.1,24249284.345,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-10,134.87,134.94,127.17,127.95,138.91,-10.96,-7.89,1617420.76,21074152.02,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-13,126.0,136.48,126.0,136.47,127.95,8.52,6.6589,1402994.86,18642587.057,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-14,136.96,137.8,125.8,127.2,136.47,-9.27,-6.7927,1321004.03,17321652.001,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-15,127.18,129.73,124.6,129.56,127.2,2.36,1.8553,807987.26,10284318.328,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-16,127.8,130.28,126.6,127.3,129.56,-2.26,-1.7444,612310.62,7841134.057,153.0,99.98,126.49000000000001,53.019999999999996,41.91635702427069,False,False
688981.SH,2025-10-17,126.85,127.32,120.87,121.98,127.3,-5.32,-4.1791,820528.98,10097285.54,153.0,107.5,130.25,45.5,34.93282149712092,False,False
688981.SH,2025-10-20,124.1,125.18,121.69,122.63,121.98,0.65,0.5329,571239.35,7060333.63,153.0,107.5,130.25,45.5,34.93282149712092,False,False
688981.SH,2025-10-21,123.8,127.85,122.61,127.19,122.63,4.56,3.7185,784150.88,9888217.346,153.0,108.09,130.54500000000002,44.91,34.40193036883832,False,False
688981.SH,2025-10-22,125.42,129.27,123.81,126.81,127.19,-0.38,-0.2988,653954.11,8265031.817,153.0,109.8,131.4,43.2,32.87671232876712,False,False
688981.SH,2025-10-23,125.18,128.5,124.01,128.3,126.81,1.49,1.175,634264.02,8038110.025,153.0,116.35,134.675,36.650000000000006,27.21366252088361,False,False
688981.SH,2025-10-24,130.3,134.8,128.9,134.06,128.3,5.76,4.4895,1024466.21,13548726.657,153.0,119.05,136.025,33.95,24.958647307480245,False,False
688981.SH,2025-10-27,137.5,137.5,132.3,134.5,134.06,0.44,0.3282,1012643.04,13623206.912,153.0,119.05,136.025,33.95,24.958647307480245,False,False
688981.SH,2025-10-28,133.0,135.8,132.0,132.69,134.5,-1.81,-1.3457,695189.45,9299045.972,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-29,132.0,134.53,130.31,133.0,132.69,0.31,0.2336,688460.74,9111437.51,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-30,133.0,133.0,128.51,128.55,133.0,-4.45,-3.3459,692863.97,9018982.748,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-31,128.03,128.7,124.18,124.18,128.55,-4.37,-3.3995,691668.89,8692098.673,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-11-03,122.0,122.6,117.55,120.21,124.18,-3.97,-3.197,747709.27,8940382.093,153.0,117.55,135.275,35.45,26.2058769173905,False,False
688981.SH,2025-11-04,121.0,122.66,119.0,119.88,120.21,-0.33,-0.2745,477384.17,5770504.489,153.0,117.55,135.275,35.45,26.2058769173905,False,False
688981.SH,2025-11-05,116.9,121.1,116.5,119.78,119.88,-0.1,-0.0834,485016.0,5753269.424,153.0,116.5,134.75,36.5,27.087198515769945,False,False
688981.SH,2025-11-06,121.9,125.99,121.05,124.85,119.78,5.07,4.2328,731507.65,9060521.121,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-07,122.93,124.18,122.05,122.11,124.85,-2.74,-2.1946,382292.14,4694221.497,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-10,122.13,122.95,118.76,120.01,122.11,-2.1,-1.7198,395832.71,4749065.264,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-11,120.6,121.47,117.53,117.73,120.01,-2.28,-1.8998,342530.08,4073862.296,137.5,116.5,127.0,21.0,16.535433070866144,False,False
688981.SH,2025-11-12,117.0,119.8,115.74,119.63,117.73,1.9,1.6139,457015.52,5405408.039,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-13,118.99,123.33,117.8,123.1,119.63,3.47,2.9006,549888.53,6638319.087,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-14,123.0,125.5,117.89,118.18,123.1,-4.92,-3.9968,775293.52,9432871.553,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-17,116.82,119.29,116.51,117.63,118.18,-0.55,-0.4654,421773.41,4961789.944,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-18,117.5,120.18,117.13,117.96,117.63,0.33,0.2805,473915.08,5629538.134,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-19,117.99,118.49,115.51,116.28,117.96,-1.68,-1.4242,415119.56,4848790.041,137.5,115.51,126.505,21.989999999999995,17.382712145764987,False,False
688981.SH,2025-11-20,117.99,118.29,116.46,116.78,116.28,0.5,0.43,344702.85,4045624.435,137.5,115.51,126.505,21.989999999999995,17.382712145764987,False,False
688981.SH,2025-11-21,113.86,116.08,113.0,113.0,116.78,-3.78,-3.2369,461358.62,5264860.634,137.5,113.0,125.25,24.5,19.560878243512974,False,False
688981.SH,2025-11-24,112.99,113.5,108.18,111.51,113.0,-1.49,-1.3186,557908.63,6159093.355,135.8,108.18,121.99000000000001,27.620000000000005,22.64120009836872,False,False
688981.SH,2025-11-25,112.5,113.96,111.37,111.68,111.51,0.17,0.1525,407223.82,4584278.768,134.53,108.18,121.355,26.349999999999994,21.713155617815495,False,False
688981.SH,2025-11-26,110.7,113.9,110.61,112.71,111.68,1.03,0.9223,419553.57,4731195.304,133.0,108.18,120.59,24.819999999999993,20.582137822373326,False,False
688981.SH,2025-11-27,113.8,116.8,112.56,112.71,112.71,0.0,0.0,523431.12,6012840.143,128.7,108.18,118.44,20.519999999999982,17.325227963525823,False,False
688981.SH,2025-11-28,112.71,114.11,111.4,113.6,112.71,0.89,0.7896,308663.84,3486790.036,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-01,113.4,114.68,112.6,114.4,113.6,0.8,0.7042,327640.04,3724984.486,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-02,114.1,114.19,112.7,113.0,114.4,-1.4,-1.2238,237771.82,2694922.636,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-03,112.8,113.69,111.13,111.62,113.0,-1.38,-1.2212,245413.59,2756774.41,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-04,111.65,114.73,110.98,114.73,111.62,3.11,2.7862,387551.96,4392462.735,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-05,114.0,114.88,112.5,114.18,114.73,-0.55,-0.4794,352653.66,4015690.336,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-08,114.21,118.0,114.18,117.2,114.18,3.02,2.6449,508359.77,5945081.548,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-09,115.58,117.9,115.51,116.32,117.2,-0.88,-0.7509,371384.45,4333826.426,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-10,115.58,116.59,113.44,116.31,116.32,-0.01,-0.0086,315714.73,3624511.935,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-11,116.53,117.14,113.5,113.61,116.31,-2.7,-2.3214,303108.96,3488207.042,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-12,113.61,117.42,111.6,116.8,113.61,3.19,2.8079,584998.04,6734945.965,120.18,108.18,114.18,12.0,10.509721492380452,False,False
688981.SH,2025-12-15,115.15,116.5,113.0,113.01,116.8,-3.79,-3.2449,342417.46,3933791.146,120.18,108.18,114.18,12.0,10.509721492380452,False,False
688981.SH,2025-12-16,112.5,113.35,110.27,110.7,113.01,-2.31,-2.0441,323379.53,3605859.884,118.49,108.18,113.33500000000001,10.309999999999988,9.096925045219912,False,False
688981.SH,2025-12-17,110.82,113.9,110.13,113.29,110.7,2.59,2.3397,343892.72,3848931.232,118.29,108.18,113.23500000000001,10.11,8.92833487879189,False,False
688981.SH,2025-12-18,112.8,115.72,112.75,112.8,113.29,-0.49,-0.4325,314700.29,3583327.202,118.0,108.18,113.09,9.819999999999993,8.683349544610481,False,False
688981.SH,2025-12-19,113.2,115.48,113.0,113.63,112.8,0.83,0.7358,272612.5,3107493.842,118.0,108.18,113.09,9.819999999999993,8.683349544610481,False,False
688981.SH,2025-12-22,114.6,121.44,114.6,120.45,113.63,6.82,6.0019,810113.69,9622360.396,121.44,110.13,115.785,11.310000000000002,9.768104676771605,False,False
688981.SH,2025-12-23,120.5,121.58,119.02,119.9,120.45,-0.55,-0.4566,483601.42,5823920.043,121.58,110.13,115.85499999999999,11.450000000000003,9.883043459496788,False,False
688981.SH,2025-12-24,122.5,124.38,121.11,123.41,119.9,3.51,2.9274,629560.98,7744549.16,124.38,110.13,117.255,14.25,12.152999872073686,False,False
688981.SH,2025-12-25,123.0,125.99,122.66,123.08,123.41,-0.33,-0.2674,471809.58,5854142.202,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-26,122.58,124.79,121.16,122.1,123.08,-0.98,-0.7962,402397.99,4938389.58,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-29,123.0,125.65,122.02,122.5,122.1,0.4,0.3276,506831.61,6280270.177,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-30,124.45,126.69,124.0,125.28,122.5,2.78,2.2694,604958.31,7582347.029,126.69,110.13,118.41,16.560000000000002,13.985305295160884,False,False
688981.SH,2025-12-31,125.99,126.2,122.4,122.83,125.28,-2.45,-1.9556,411586.85,5082728.445,126.69,110.13,118.41,16.560000000000002,13.985305295160884,False,False
688981.SH,2026-01-05,126.84,130.17,126.2,129.95,122.83,7.12,5.7966,911394.04,11742866.839,130.17,110.13,120.14999999999999,20.039999999999992,16.679151061173528,False,False
688981.SH,2026-01-06,129.0,134.2,128.77,131.84,129.95,1.89,1.4544,730696.95,9623978.218,134.2,110.13,122.16499999999999,24.069999999999993,19.70286088486882,False,False
688981.SH,2026-01-07,131.84,132.82,128.85,129.98,131.84,-1.86,-1.4108,598040.86,7783876.099,134.2,110.13,122.16499999999999,24.069999999999993,19.70286088486882,False,False
688981.SH,2026-01-08,128.95,134.68,128.91,130.15,129.98,0.17,0.1308,616918.81,8145423.327,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
