ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2026-01-09,129.15,130.01,127.77,128.88,130.15,-1.27,-0.9758,511274.88,6581947.276,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-12,128.52,129.62,126.68,127.66,128.88,-1.22,-0.9466,563935.64,7202156.993,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-13,127.49,128.15,122.86,123.63,127.66,-4.03,-3.1568,652072.8,8154109.676,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-14,123.51,127.6,123.5,124.49,123.63,0.86,0.6956,649683.91,8155390.623,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-15,123.49,125.5,122.33,124.44,124.49,-0.05,-0.0402,556604.23,6895087.6,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-16,127.5,128.82,124.88,126.99,124.44,2.55,2.0492,756512.57,9597582.828,134.68,112.75,123.715,21.930000000000007,17.726225599159363,False,False
688981.SH,2026-01-19,127.05,128.5,125.12,125.29,126.99,-1.7,-1.3387,477537.02,6024303.737,134.68,113.0,123.84,21.680000000000007,17.50645994832042,False,False
688981.SH,2026-01-20,125.0,125.5,121.81,122.18,125.29,-3.11,-2.4822,508693.59,6261665.024,134.68,114.6,124.64,20.080000000000013,16.110397946084735,False,False
688981.SH,2026-01-21,120.93,128.89,120.58,127.19,122.18,5.01,4.1005,970525.21,12294760.582,134.68,119.02,126.85,15.66000000000001,12.345289712258582,False,False
688981.SH,2026-01-22,128.98,130.82,125.57,126.8,127.19,-0.39,-0.3066,648094.63,8268996.067,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-23,126.8,127.37,124.03,124.96,126.8,-1.84,-1.4511,490631.04,6130483.631,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-26,124.01,125.88,121.9,121.92,124.96,-3.04,-2.4328,502566.5,6184618.809,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-27,122.0,125.74,119.22,124.05,121.92,2.13,1.747,655261.57,8023170.134,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-28,124.99,128.99,124.99,128.55,124.05,4.5,3.6276,994583.26,12644229.527,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-29,127.6,127.81,122.16,122.4,128.55,-6.15,-4.7841,715649.35,8897091.559,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-30,121.33,124.94,120.07,122.97,122.4,0.57,0.4657,527719.06,6468951.529,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-02-02,121.4,122.59,116.8,117.06,122.97,-5.91,-4.8061,596690.81,7104970.929,134.68,116.8,125.74000000000001,17.88000000000001,14.219818673453164,False,False
688981.SH,2026-02-03,118.69,118.84,113.46,116.03,117.06,-1.03,-0.8799,561769.52,6500024.016,134.68,113.46,124.07,21.220000000000013,17.103248166357712,False,False
688981.SH,2026-02-04,114.5,114.99,113.15,114.84,116.03,-1.19,-1.0256,351393.47,4005035.637,134.68,113.15,123.915,21.53,17.37481338013961,False,False
688981.SH,2026-02-05,112.99,114.5,110.39,111.8,114.84,-3.04,-2.6472,446447.65,4982588.635,130.82,110.39,120.60499999999999,20.429999999999993,16.939596202479162,False,False
688981.SH,2026-02-06,110.14,114.6,110.14,112.7,111.8,0.9,0.805,408226.91,4597784.625,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-09,114.8,115.07,113.7,114.93,112.7,2.23,1.9787,321018.1,3676020.764,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-10,115.2,116.9,114.85,116.2,114.93,1.27,1.105,340436.51,3949080.646,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-11,114.0,116.14,113.5,115.01,116.2,-1.19,-1.0241,345336.73,3955491.126,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-12,115.55,117.18,115.11,116.58,115.01,1.57,1.3651,333622.54,3880738.366,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-13,116.23,117.98,115.56,116.93,116.58,0.35,0.3002,343687.4,4020570.46,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-24,118.03,118.18,115.62,115.82,116.93,-1.11,-0.9493,276155.68,3217730.655,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-25,117.0,117.5,115.85,116.13,115.82,0.31,0.2677,275528.56,3214693.555,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-26,116.13,117.23,114.29,116.65,116.13,0.52,0.4478,327021.83,3787597.479,130.82,110.14,120.47999999999999,20.679999999999993,17.164674634794153,False,False
688981.SH,2026-02-27,115.03,115.87,114.32,115.0,116.65,-1.65,-1.4145,279308.78,3213704.146,128.99,110.14,119.565,18.85000000000001,15.76548320996948,False,False
688981.SH,2026-03-02,112.88,114.2,112.3,112.53,115.0,-2.47,-2.1478,349784.75,3952733.063,128.99,110.14,119.565,18.85000000000001,15.76548320996948,False,False
688981.SH,2026-03-03,113.23,114.75,107.69,108.31,112.53,-4.22,-3.7501,540987.0,5976584.863,128.99,107.69,118.34,21.30000000000001,17.99898597262127,False,False
688981.SH,2026-03-04,107.32,109.7,106.12,106.69,108.31,-1.62,-1.4957,322749.58,3470640.119,128.99,106.12,117.555,22.870000000000005,19.454723320998685,False,False
688981.SH,2026-03-05,108.6,109.26,106.09,106.9,106.69,0.21,0.1968,353531.81,3803229.096,127.81,106.09,116.95,21.72,18.57203933304831,False,False
688981.SH,2026-03-06,107.0,108.34,106.17,106.5,106.9,-0.4,-0.3742,340486.16,3648254.394,124.94,106.09,115.515,18.849999999999994,16.318227070077473,False,False
688981.SH,2026-03-09,103.97,105.79,101.63,105.14,106.5,-1.36,-1.277,393559.67,4065897.45,122.59,101.63,112.11,20.960000000000008,18.695923646418702,False,False
688981.SH,2026-03-10,106.9,107.75,105.7,107.28,105.14,2.14,2.0354,318321.9,3400130.457,118.84,101.63,110.235,17.210000000000008,15.612101419694296,False,False
688981.SH,2026-03-11,107.23,108.8,107.0,107.1,107.28,-0.18,-0.1678,279982.97,3016803.608,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-12,107.0,108.55,104.95,106.01,107.1,-1.09,-1.0177,288819.77,3075181.737,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-13,105.02,107.83,104.5,107.06,106.01,1.05,0.9905,341633.26,3642164.903,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-16,106.31,110.32,105.5,108.6,107.06,1.54,1.4384,422554.97,4559220.659,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-17,108.54,108.58,105.99,106.02,108.6,-2.58,-2.3757,295718.04,3173439.587,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-18,105.78,106.88,105.25,106.6,106.02,0.58,0.5471,263345.92,2794678.901,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-19,105.01,107.69,104.51,105.96,106.6,-0.64,-0.6004,378655.95,4001785.717,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-20,105.2,105.72,102.18,102.18,105.96,-3.78,-3.5674,381294.75,3960183.826,118.18,101.63,109.905,16.55000000000001,15.058459578727094,False,False
688981.SH,2026-03-23,100.01,101.99,97.4,98.04,102.18,-4.14,-4.0517,506671.26,5040929.175,118.18,97.4,107.79,20.78,19.27822618053623,False,False
688981.SH,2026-03-24,98.9,99.37,97.25,99.25,98.04,1.21,1.2342,336803.26,3314641.85,117.5,97.25,107.375,20.25,18.859138533178115,False,False
688981.SH,2026-03-25,99.67,100.94,99.28,99.99,99.25,0.74,0.7456,321306.43,3215491.219,117.23,97.25,107.24000000000001,19.980000000000004,18.63110779559866,False,False
688981.SH,2026-03-26,99.55,99.7,96.55,96.88,99.99,-3.11,-3.1103,313198.89,3067688.006,115.87,96.55,106.21000000000001,19.320000000000007,18.19037755390265,False,False
688981.SH,2026-03-27,96.0,98.39,95.87,97.5,96.88,0.62,0.64,280875.27,2738255.865,114.75,95.87,105.31,18.879999999999995,17.92802203019656,False,False
688981.SH,2026-03-30,95.8,96.19,94.0,95.83,97.5,-1.67,-1.7128,328870.03,3130020.525,114.75,94.0,104.375,20.75,19.880239520958085,False,False
688981.SH,2026-03-31,95.8,97.4,94.0,94.05,95.83,-1.78,-1.8575,293839.03,2809492.923,110.32,94.0,102.16,16.319999999999993,15.974941268598272,False,False
688981.SH,2026-04-01,96.4,96.7,94.81,96.33,94.05,2.28,2.4242,325648.08,3121615.312,110.32,94.0,102.16,16.319999999999993,15.974941268598272,False,False
688981.SH,2026-04-02,95.5,95.79,92.51,93.2,96.33,-3.13,-3.2492,293828.32,2760191.974,110.32,92.51,101.41499999999999,17.809999999999988,17.561504708376464,False,False
688981.SH,2026-04-03,93.41,93.94,91.76,91.78,93.2,-1.42,-1.5236,216461.63,2004261.621,110.32,91.76,101.03999999999999,18.559999999999988,18.368962787015032,False,False
688981.SH,2026-04-07,91.5,96.99,91.2,95.62,91.78,3.84,4.1839,458242.31,4340589.11,110.32,91.2,100.75999999999999,19.11999999999999,18.975784041286218,False,False
688981.SH,2026-04-08,99.02,101.54,99.02,101.18,95.62,5.56,5.8147,544697.12,5458085.866,110.32,91.2,100.75999999999999,19.11999999999999,18.975784041286218,False,False
688981.SH,2026-04-09,99.4,101.2,99.2,99.72,101.18,-1.46,-1.443,310716.53,3111335.889,110.32,91.2,100.75999999999999,19.11999999999999,18.975784041286218,False,False
688981.SH,2026-04-10,101.0,102.79,100.68,101.01,99.72,1.29,1.2936,406305.14,4130861.809,110.32,91.2,100.75999999999999,19.11999999999999,18.975784041286218,False,False
688981.SH,2026-04-13,99.85,102.8,99.72,100.64,101.01,-0.37,-0.3663,351885.22,3554994.262,110.32,91.2,100.75999999999999,19.11999999999999,18.975784041286218,False,False
688981.SH,2026-04-14,102.1,102.28,100.38,101.52,100.64,0.88,0.8744,370910.59,3760621.304,108.58,91.2,99.89,17.379999999999995,17.399139052958247,False,False
688981.SH,2026-04-15,102.05,106.1,101.8,103.91,101.52,2.39,2.3542,704839.0,7336887.912,107.69,91.2,99.445,16.489999999999995,16.582030267987324,False,False
688981.SH,2026-04-16,103.5,105.0,103.0,104.18,103.91,0.27,0.2598,393721.35,4092706.42,107.69,91.2,99.445,16.489999999999995,16.582030267987324,False,False
688981.SH,2026-04-17,103.82,107.3,103.27,105.23,104.18,1.05,1.0079,503755.27,5313222.52,107.3,91.2,99.25,16.099999999999994,16.22166246851385,False,False
688981.SH,2026-04-20,105.93,108.6,105.01,107.96,105.23,2.73,2.5943,547702.62,5872447.693,108.6,91.2,99.9,17.39999999999999,17.417417417417408,False,False
688981.SH,2026-04-21,107.33,108.15,105.68,107.46,107.96,-0.5,-0.4631,372584.25,3976054.595,108.6,91.2,99.9,17.39999999999999,17.417417417417408,False,False
688981.SH,2026-04-22,106.8,108.08,106.5,107.87,107.46,0.41,0.3815,375216.74,4023321.89,108.6,91.2,99.9,17.39999999999999,17.417417417417408,False,False
688981.SH,2026-04-23,108.88,109.12,105.2,105.98,107.87,-1.89,-1.7521,441491.01,4724880.091,109.12,91.2,100.16,17.92,17.891373801916934,False,False
688981.SH,2026-04-24,105.58,113.25,104.61,110.96,105.98,4.98,4.699,910703.63,9980491.748,113.25,91.2,102.225,22.049999999999997,21.570066030814377,False,False
688981.SH,2026-04-27,113.25,117.69,112.6,116.58,110.96,5.62,5.0649,970295.86,11249548.325,117.69,91.2,104.445,26.489999999999995,25.36263104983484,False,False
688981.SH,2026-04-28,115.24,117.64,113.02,114.0,116.58,-2.58,-2.2131,625007.3,7209850.228,117.69,91.2,104.445,26.489999999999995,25.36263104983484,False,False
688981.SH,2026-04-29,113.35,113.82,109.78,112.47,114.0,-1.53,-1.3421,514882.54,5750212.698,117.69,91.2,104.445,26.489999999999995,25.36263104983484,False,False
688981.SH,2026-04-30,113.31,119.88,113.3,118.73,112.47,6.26,5.5659,1018382.85,11911527.206,119.88,91.2,105.53999999999999,28.679999999999993,27.174530983513357,False,False
688981.SH,2026-05-06,122.0,128.12,121.74,123.1,118.73,4.37,3.6806,1292940.51,16176667.799,128.12,91.2,109.66,36.92,33.667700164143724,False,False
688981.SH,2026-05-07,125.11,127.48,122.22,125.34,123.1,2.24,1.8197,842774.03,10482928.52,128.12,91.2,109.66,36.92,33.667700164143724,False,False
688981.SH,2026-05-08,122.9,123.19,120.05,120.31,125.34,-5.03,-4.0131,708618.1,8595731.864,128.12,99.02,113.57,29.10000000000001,25.622963810865556,False,False
688981.SH,2026-05-11,122.99,124.57,121.9,122.52,120.31,2.21,1.8369,814859.72,10017304.327,128.12,99.2,113.66,28.92,25.444307584022525,False,False
688981.SH,2026-05-12,124.44,125.44,120.0,121.98,122.52,-0.54,-0.4407,817732.34,10018643.228,128.12,99.72,113.92,28.400000000000006,24.92977528089888,False,False
688981.SH,2026-05-13,119.0,122.5,116.04,121.86,121.98,-0.12,-0.0984,954951.48,11374279.337,128.12,99.72,113.92,28.400000000000006,24.92977528089888,False,False
688981.SH,2026-05-14,121.92,124.04,117.0,117.9,121.86,-3.96,-3.2496,790650.15,9451219.953,128.12,100.38,114.25,27.74000000000001,24.280087527352308,False,False
688981.SH,2026-05-15,121.0,125.0,118.48,119.02,117.9,1.12,0.95,1328100.54,16152497.227,128.12,101.8,114.96000000000001,26.320000000000007,22.894919972164235,False,False
688981.SH,2026-05-18,117.4,120.34,115.6,117.62,119.02,-1.4,-1.1763,748969.19,8855418.364,128.12,103.0,115.56,25.120000000000005,21.737625475943236,False,False
688981.SH,2026-05-19,116.16,118.88,112.68,118.82,117.62,1.2,1.0202,840269.78,9713877.346,128.12,103.27,115.695,24.85000000000001,21.478888456718103,False,False
688981.SH,2026-05-20,118.0,136.63,117.5,133.81,118.82,14.99,12.6157,2248800.56,28996720.135,136.63,104.61,120.62,32.019999999999996,26.546178079920406,False,False
688981.SH,2026-05-21,134.0,137.63,127.1,127.22,133.81,-6.59,-4.9249,1546776.71,20601829.525,137.63,104.61,121.12,33.019999999999996,27.262219286657857,False,False
688981.SH,2026-05-22,129.33,132.18,126.5,131.33,127.22,4.11,3.2306,1199477.88,15516843.653,137.63,104.61,121.12,33.019999999999996,27.262219286657857,False,False
688981.SH,2026-05-25,136.0,157.6,136.0,156.0,131.33,24.67,18.7847,2521802.26,37253708.024,157.6,104.61,131.105,52.989999999999995,40.41798558407383,False,False
688981.SH,2026-05-26,150.73,154.44,145.5,149.18,156.0,-6.82,-4.3718,1799242.41,26787296.677,157.6,104.61,131.105,52.989999999999995,40.41798558407383,False,False
688981.SH,2026-05-27,150.0,153.52,145.0,146.22,149.18,-2.96,-1.9842,1234983.75,18473692.356,157.6,109.78,133.69,47.81999999999999,35.769317076819505,False,False
688981.SH,2026-05-28,146.0,159.05,146.0,153.7,146.22,7.48,5.1156,1608231.75,24822318.598,159.05,109.78,134.41500000000002,49.27000000000001,36.65513521556374,False,False
688981.SH,2026-05-29,150.92,152.38,138.49,139.91,153.7,-13.79,-8.972,1536812.64,22138462.395,159.05,109.78,134.41500000000002,49.27000000000001,36.65513521556374,False,False
688981.SH,2026-06-01,139.76,140.8,132.04,132.44,139.91,-7.47,-5.3391,1008849.14,13645017.172,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-02,132.98,135.5,129.3,132.48,132.44,0.04,0.0302,923688.2,12256037.221,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-03,132.0,138.75,131.85,134.0,132.48,1.52,1.1473,992127.45,13487781.965,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-04,131.0,137.57,130.0,134.88,134.0,0.88,0.6567,778526.88,10493292.686,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-05,131.0,134.75,126.7,127.4,134.88,-7.48,-5.5457,934574.33,12150117.807,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-08,120.0,124.28,120.0,121.92,127.4,-5.48,-4.3014,781225.59,9545783.582,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-09,123.5,128.03,120.89,127.3,121.92,5.38,4.4127,769662.77,9607775.526,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-10,125.0,131.18,124.5,125.34,127.3,-1.96,-1.5397,669094.14,8511488.618,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-11,124.0,129.08,123.01,127.4,125.34,2.06,1.6435,626275.99,7935636.355,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-12,131.64,134.87,124.37,124.88,127.4,-2.52,-1.978,817437.29,10575818.607,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-15,128.59,131.0,124.89,130.52,124.88,5.64,4.5163,728604.09,9404695.623,159.05,112.68,135.865,46.370000000000005,34.129466750082806,False,False
688981.SH,2026-06-16,131.0,134.34,127.93,130.14,130.52,-0.38,-0.2911,745583.01,9738547.521,159.05,117.5,138.275,41.55000000000001,30.048815765684335,False,False
688981.SH,2026-06-17,127.91,134.88,126.68,134.7,130.14,4.56,3.5039,963562.12,12699097.858,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-18,136.11,144.63,132.88,140.7,134.7,6.0,4.4543,1244937.14,17289251.566,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-22,140.78,148.0,140.0,145.59,140.7,4.89,3.4755,1060960.58,15251149.626,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-23,143.58,148.3,139.6,141.7,145.59,-3.89,-2.6719,918201.09,13211881.994,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-24,141.5,156.35,141.32,151.53,141.7,9.83,6.9372,1411623.83,21160854.009,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-25,152.0,158.66,151.0,156.86,151.53,5.33,3.5175,1186102.37,18470621.628,159.05,120.0,139.525,39.05000000000001,27.98781580361943,False,False
688981.SH,2026-06-26,153.7,156.22,146.5,148.76,156.86,-8.1,-5.1638,1076155.43,16171921.139,158.66,120.0,139.32999999999998,38.66,27.74707528888251,False,False
688981.SH,2026-06-29,147.8,152.99,141.0,151.0,148.76,2.24,1.5058,1027401.01,15158412.01,158.66,120.0,139.32999999999998,38.66,27.74707528888251,False,False
688981.SH,2026-06-30,152.05,160.66,150.0,158.82,151.0,7.82,5.1788,1066795.41,16679545.014,160.66,120.0,140.32999999999998,40.66,28.97455996579491,False,False
688981.SH,2026-07-01,160.19,166.88,152.31,154.48,158.82,-4.34,-2.7327,1146777.18,18327904.135,166.88,120.0,143.44,46.879999999999995,32.68265476854434,False,False
688981.SH,2026-07-02,146.5,151.69,141.26,144.1,154.48,-10.38,-6.7193,949023.64,13942694.264,166.88,120.0,143.44,46.879999999999995,32.68265476854434,False,False
688981.SH,2026-07-03,144.89,146.45,140.2,140.31,144.1,-3.79,-2.6301,770411.78,11011795.924,166.88,120.0,143.44,46.879999999999995,32.68265476854434,False,False
